
#################################################################
# Summary Statistics
#################################################################

DIC = 5681.071

                                  Mean    SD  2.5%    5%   25%   50%   75%   95%
p.MO3_2018.Flowering.Rice_herb   0.568 0.194 0.174 0.240 0.424 0.571 0.722 0.865
p.MO3_2018.Flowering.Tour_herb   0.288 0.180 0.028 0.049 0.145 0.259 0.409 0.618
p.MO3_2019.Tillering.Detritivore 0.175 0.159 0.006 0.011 0.040 0.117 0.284 0.489
p.MO3_2019.Tillering.Rice_herb   0.008 0.007 0.001 0.001 0.004 0.006 0.011 0.022
p.MO3_2019.Tillering.Tour_herb   0.817 0.161 0.459 0.502 0.705 0.875 0.954 0.986
p.MO3_2019.Flowering.Detritivore 0.064 0.054 0.003 0.005 0.022 0.049 0.096 0.175
p.MO3_2019.Flowering.Rice_herb   0.068 0.044 0.011 0.015 0.035 0.058 0.091 0.154
p.MO3_2019.Flowering.Tour_herb   0.868 0.076 0.692 0.726 0.819 0.879 0.928 0.970
p.MO3_2019.Ripening.Detritivore  0.099 0.068 0.009 0.014 0.044 0.085 0.142 0.235
p.MO3_2019.Ripening.Rice_herb    0.116 0.055 0.030 0.039 0.075 0.109 0.150 0.219
p.MO3_2019.Ripening.Tour_herb    0.785 0.081 0.611 0.645 0.731 0.790 0.846 0.910
p.OC_2017.Tillering.Detritivore  0.768 0.113 0.508 0.553 0.702 0.783 0.856 0.922
p.OC_2017.Tillering.Rice_herb    0.128 0.067 0.039 0.046 0.079 0.114 0.163 0.254
p.OC_2017.Tillering.Tour_herb    0.104 0.084 0.008 0.012 0.040 0.082 0.147 0.273
p.OC_2017.Flowering.Detritivore  0.241 0.100 0.060 0.081 0.170 0.237 0.309 0.408
p.OC_2017.Flowering.Rice_herb    0.680 0.105 0.465 0.503 0.613 0.682 0.752 0.848
p.OC_2017.Flowering.Tour_herb    0.079 0.072 0.007 0.009 0.029 0.058 0.105 0.223
p.OC_2017.Ripening.Detritivore   0.251 0.113 0.040 0.058 0.172 0.254 0.330 0.431
p.OC_2017.Ripening.Rice_herb     0.710 0.113 0.497 0.526 0.631 0.707 0.788 0.902
p.OC_2017.Ripening.Tour_herb     0.039 0.040 0.003 0.005 0.015 0.028 0.050 0.108
p.OO_2017.Tillering.Detritivore  0.771 0.108 0.538 0.574 0.704 0.784 0.854 0.918
p.OO_2017.Tillering.Rice_herb    0.117 0.059 0.034 0.042 0.074 0.105 0.148 0.231
p.OO_2017.Tillering.Tour_herb    0.113 0.089 0.008 0.013 0.043 0.090 0.161 0.284
p.OO_2017.Flowering.Detritivore  0.255 0.112 0.071 0.087 0.170 0.243 0.329 0.455
p.OO_2017.Flowering.Rice_herb    0.654 0.122 0.409 0.446 0.571 0.657 0.741 0.848
p.OO_2017.Flowering.Tour_herb    0.092 0.083 0.007 0.010 0.031 0.066 0.128 0.256
p.OO_2017.Ripening.Detritivore   0.259 0.106 0.058 0.087 0.186 0.263 0.330 0.431
p.OO_2017.Ripening.Rice_herb     0.696 0.105 0.491 0.530 0.624 0.695 0.768 0.868
p.OO_2017.Ripening.Tour_herb     0.045 0.042 0.004 0.006 0.018 0.033 0.061 0.121
p.SC1_2018.Tillering.Detritivore 0.395 0.177 0.101 0.134 0.263 0.377 0.511 0.727
p.SC1_2018.Tillering.Rice_herb   0.347 0.146 0.091 0.116 0.238 0.341 0.448 0.602
p.SC1_2018.Tillering.Tour_herb   0.258 0.145 0.031 0.050 0.148 0.243 0.350 0.518
p.SC1_2018.Flowering.Detritivore 0.066 0.061 0.006 0.009 0.025 0.046 0.087 0.199
p.SC1_2018.Flowering.Rice_herb   0.834 0.103 0.584 0.631 0.777 0.856 0.913 0.958
p.SC1_2018.Flowering.Tour_herb   0.100 0.085 0.008 0.012 0.038 0.078 0.138 0.271
p.SC1_2018.Ripening.Detritivore  0.068 0.061 0.005 0.008 0.025 0.048 0.091 0.198
p.SC1_2018.Ripening.Rice_herb    0.882 0.077 0.688 0.730 0.840 0.901 0.939 0.971
p.SC1_2018.Ripening.Tour_herb    0.051 0.046 0.005 0.007 0.019 0.037 0.068 0.139
p.SC1_2019.Tillering.Detritivore 0.613 0.110 0.398 0.431 0.539 0.612 0.687 0.794
p.SC1_2019.Tillering.Rice_herb   0.225 0.084 0.079 0.096 0.163 0.220 0.280 0.373
